Id,Sentiment,Text Tweet,Preprocessed,synthetic
15,0,"Film Kartini trlalu singkat, sehingga penonton yg mungkin blm baca biografi jelas ttg Kartini agak bingung. Saya sndiri emg blm baca bukuny.",film kartini trlalu singkat tonton blm baca biografi kartini bingung sndiri blm baca bukuny,False
16,0,"Habis nonton the guys, entah kenapa aku sedikit kecewa nonton film ini.. Dibanding film sebelumnya kok ini anjlok ya",habis nonton kecewa nonton film banding film anjlok,False
17,0,Yang udah nonton film Alien kok pada kecewa ya. Jadi ragu buat nonton.,nonton film alien kecewa ragu nonton,False
18,0,satu-satunya kerugian nonton film action itu.. aktornya jadi keliatan jelek :p,satu rugi nonton film action aktor liat jelek p,False
19,0,Ini film yang bilang bagus...Kelompoknya doang. Yang kasih penghargaan juga dia2 aj. waktu nonton ternyata jelek.,film bilang bagus kelompok doang kasih harga dia2 nonton jelek,False
20,0,"baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek.",sudah singkat dihabisken tonton film jelek,False
21,0,"Film King Arthur itu tidak jelek namun juga tidak bagus. Biasa saja, cenderung mudah dilupakan.",film king arthur jelek bagus cenderung mudah lupa,False
22,0,"Jelek ah jelek Pantas film Dimension tidak pernah dirilis, akting kamu begini ternyata /ga ",jelek jelek film dimension rilis akting ga,False
23,0,duh ini film ribet banget ...,duh film ribet,False
24,0,"Dgn durasi film yg tll panjang, alur yg datar, akhirnya stlh #CriticalEleven selesai sy keluar dgn pertanyaan: ini masalahnya apa sih?",durasi film alur datar stlh criticaleleven selesai,False
25,0,"Banyak adegan penting yang di potong, jadinya merusak film itu sendiri ",adegan potong rusak film,False
26,0,"baru selesai nonton film GOAL 3, ternyata penurunan kualitas film nya drastis parah.",selesai nonton film goal 3 turun kualitas film drastis parah,False
27,0,Baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton: Black Bulter,ingat film beda buku kecewa ngajak nonton black bulter,False
28,0,ogah nonton lagi saya. Kecewa ama itu film ,nonton kecewa film,False
29,0,"Kecewa berat sama film Power Rangers, dibawah ekspektasi banget ",kecewa film power rangers bawah ekspektasi,False
30,0,Bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu,bahas film angkat novel film puas,False
31,0,"Sebenernya nggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke aja. Yang kurang greget itu ceritanya sih, kurang kuat.",sebenernya akting prilly film danur oke oke greget cerita kuat,False
32,0,"Tadi abis nonton film balap2 mobil itu,tertidur sekitar 15 menit. Entah lelah entah bosan.",nonton film balap2 mobil tidur 15 menit lelah bosan,False
33,0,The mummy film yg terasa mulai aneh sejak pertengahan filmnya #mummy,mummy film aneh tengah film mummy,False
34,0,"Memang malah kelihatan aneh kalau ada film besutan Marvel yang ga ada post-credit scene nya,kaya film yg habis saya tonton,#Logan.",aneh film besut marvel ga post credit scene kaya film habis tonton log,False
35,0,Film norak!!!! ,film norak,False
36,0,adanya film critical eleven ini jadi merusak image Ale Anya di kepalaku :(,film critical eleven rusak image ale anya kepala,False
37,0,"#FactRica ~ kurang suka sama film-film romantis, karena endingnya pasti jadian",factrica suka film film romantis endingnya jadi,False
38,0,Dibalik novel yang diangkat jadi film. Terus jadinya kurang. Sesungguhny ada campur tangan produser yang sok tau dengan embel2 lebih menjual,balik novel angkat film sesungguhny campur tangan produser sok tau embel2 jual,False
39,0,karena ga respect kelakuan si dian sastro ...film itu jadi hambar.... ga bermutu...!!! ,ga respect laku dian sastro film hambar ga mutu,False
40,0,sebnarnya ini film lumyan bgus..sayangnya aktor n aktrisnya dari rusia jadi filmnya trsa hambar,sebnarnya film lumyan bgus sayang aktor n aktris rusia film hambar,False
41,0,Kalo Nolan bikin film gak ada perempuan seksi* dan bumbu percintaan selalu hambar.,nol film gak perempuan seksi bumbu cinta hambar,False
42,0,"1. Insidious (2010) Meski creepy dan bagian awalnya bikin tegang, bagian akhir film ini justru terasa agak datar. Hal tersebut berpengaruh+",1 insidious 2010 creepy tegang film datar pengaruh,False
43,0,Ini gue nonton film homo aja rumit bener,nonton film homo rumit bener,False
44,0,Sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget. sayang banget,sayang film lokal bagus budgetnya layar tonton batas sayang,False
45,0,Film macam apa ini? Nonton nya bikin gue menderita -_-,film nonton derita,False
46,0,jadi gue nonton The Mummy ini karena seseorang bilang film nya bagus. tapi kemudian setelah keluar dari bioskop merasa menyesal...,nonton mummy bilang film bagus bioskop sesal,False
47,0,"Semalam nonton film ini, paginya ane download, malem langsung nonton.. ane smpai begadang.. hasilnya? Ane Kecewa... http://fb.me/13sZi5lbC ",malam nonton film pagi download malem nonton begadang hasil kecewa,False
48,0,"Aku takut kecewa nonton film Danur, takut ga sesuai ekspetasi ketika di buku. Mikir panjang, serius.",takut kecewa nonton film danur takut ga ekspetasi buku mikir serius,False
49,0,Nonton alien : covenant di @cinema21 mall @MciMall kaya nonton bajakan parah ada yg di SKIP mati mati jelek parah!!!! Film bagus jadi jelek ,nonton alien covenant mall kaya nonton baja parah skip mati mati jelek parah film bagus jelek,False
50,0,"gue adalah orang yg jarang bgt nntn film indonesia..krn tiap nntn, gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas",jarang nntn film indonesia krn nntn slalu kecewa buat film ga totalitas,False
51,0,"Awalnya agak ragu mau nonton, karena kebanyakan kecewa waktu nonton film dari adaptasi novel",ragu nonton banyak kecewa nonton film adaptasi novel,False
52,0,Sebenarnya gamau berekspektasi tinggi sih dari sebuah film yang diangkat dr buku. Biasanya malah kecewa :(,gamau berekspektasi film angkat buku kecewa,False
53,0,Ya sudah tidur saja kecewa film nya bukan yang diharepin hufy,tidur kecewa film diharepin hufy,False
54,0,"Sama, ane juga kecewa ma nih film, padahal udah lama nungguin",kecewa film nungguin,False
55,0,Ka @selliyamanto udah nonton #MembabiButa? Agak kecewa nonton film tu,ka nonton membabibuta kecewa nonton film,False
56,0,Jenuh nonton film... hambar,jenuh nonton film hambar,False
57,0,sesal di dada nonton ini film...,sesal dada nonton film,False
58,0,"Netizen membatalkan nonton film ""Kartini"" gara-gara kelakuan @therealDiSastr. http://bit.ly/2o2iRPY",netizen batal nonton film kartini gara gara laku,False
59,0,"film jelek, jelas. Ga ada isinya.",film jelek ga isi,False
60,0,Itu film makin aneh ajaa ?,film aneh,False
61,0,"Agak aneh film terbaru Conan, baru kali ini gk spektakuler. Tp openingnya hancurin gedung sih",aneh film baru conan gk spektakuler openingnya hancurin,False
62,0,"@askmenfess Film yang bikin emosional, bener-bener nyedot emosi.",film emosional bener bener nyedot emosi,False
63,0,@pandji @InsyaAllahSah Film busuk dan artis dungu merusak bhineka,film busuk artis dungu rusak bhineka,False
64,0,"Kecewa dgn plot cerita film dengan the guys, critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi",kecewa plot cerita film critanya akan lompat ga visual erti amira suka alf,False
65,0,jijik banget sama film ini. apalagi pas dia jadi kelinci gede-_- nightmare parah. https://t.co/eDoiFuS8P5,jijik film kelinci gede nightmare parah,False
66,0,"bnyak yg bilang film Mummy jelek, pdahl pengen nonton",bilang film mummy jelek ken nonton,False
67,0,"Banyak yang bilang, film ini jelek. Daur ulang yang gagal. Di imdb dan ratattote aja ratingnya anjlok. Tp menurutku, aku suka sama film ini",bilang film jelek daur ulang gagal imdb ratattote ratingnya anjlok turut suka film,False
68,0,Naruto adalah film paling bodoh ke-8 haha #faktanya #quote,naruto film bodoh 8 fakta quote,False
69,0,Gw ekspektasinya film ini punya kekuatan narasi yg gw bisa jadiin motivasi. Tp kalimat inspiratifnya kurang banyak hehehe,gw ekspektasinya film kuat narasi gw jadiin motivasi kalimat inspiratifnya hehehe,False
70,0,Film e hambar,film e hambar,False
71,0,"Film The Mummy menurut gue gak sesuai harapan, agak agak gimana gitu filmnya, weird. Dan bukan film tipe bang tom seperti biasanya -_-""",film mummy gak harap film weird film tipe tom,False
72,0,yah kirain film baru wkwk penonton kecewaa,kirain film wkwk tonton kecewaa,False
73,0,"Mau bilang jelek ya bilang aja, sekalipun yg buat film itu teman sendiri. Sebut ""filmya bagus"" padahal biasa aja ngga bkin tmen lu maju sih.",bilang jelek bilang film filmya bagus ngga bkin tmen maju,False
74,0,"Abis nonton King Arthur. Temen gw pesen, sblm nonton ""loh, itu film jelek katanya"" jgn selalu percaya ama pesen yg ada unsur ""KATANYA"" ..",nonton king arthur temen gw sen sblm nonton film jelek jgn percaya sen unsur,False
75,0,Kadang lebih gampang nilai film jelek ketimbang nilai film bagus. Mbuh.,kadang gampang nilai film jelek ketimbang nilai film bagus,False
76,0,Ini film apa dah. Baru mulai udh bgni-_- jijk,film bgni jijk,False
77,0,"Film Kartini menang pd pemain"" film yg kelas atas yg sudah punya nama. Tapi ceritany kurang dapat dan kurang riset menurut saya.",film kartini menang pd main film kelas ceritany riset,False
78,0,"Entah aku yg kurang belajar sejarah apa gimana, tapi entah kenapa konflik yg ditampilkan di film Kartini kaya kurang memenuhi ekspektasi aja",ajar sejarah konflik tampil film kartini kaya penuh ekspektasi,False
79,0,"Film itu kalau byk di sensor, rasanya g ada, hambar",film byk sensor g hambar,False
80,0,Semoga ga busuk kyk film yg pertama,moga ga busuk kyk film,False
81,0,Flm apa ini :) arah dan tujuannya nggak jelas.. Nyesel download ! Sabar... Ini ujian ! — menonton Hangout Film,flm arah tuju nyesel download sabar uji tonton hangout film,False
82,0,Hari ini nonton film terasa; hambarr,nonton film hambarr,False
83,0,Kurang mengerti sama film nya the mummy..,erti film mummy,False
84,0,Kecewa banyak deh pkoknya.. Setidaknya mslh jam tayang bs aja ngertiin tp klu film di cut itu yg g bs dingertiin #KaulahTakdirkuMembelamu,kecewa pkoknya mslh jam tayang ngertiin klu film cut g dingertiin kaulahtakdirkumembelamu,False
85,0,"Pernah novel favorit di filmkan & hasilnya bikin kecewa parah. Tp dari teaser #CriticalEleven saya yakin, team CE serius sama film ini",novel favorit film hasil kecewa parah teaser criticaleleven team ce serius film,False
86,0,"Intinya, kmren kecewa bgt sama @cinema21 krna mmbiarkan anak kecil nnton film dewasa & jam tayang malam (20.30 WIB) pula #CriticalEleven",inti kmren kecewa krna mmbiarkan anak nnton film dewasa jam tayang malam 20 30 criticaleleven,False
87,0,Aduh! Film bagian ini jijk parah,aduh film jijk parah,False
88,0,Kecewa parah nnton film the guys ini. Entah kenapa makin ksini radit bkin film gapernah bener. Lucu juga nggak. Jalan cerita juga gadapet...,kecewa parah nnton film ksini radit bkin film gapernah bener lucu cerita gadapet,False
89,0,"Agak kecewa sama film Danur, diluar ekspektasi :(",kecewa film danur luar ekspektasi,False
90,0,Ancur bgt itu film. Jelekk,ancur film jelekk,False
91,0,Flm nya jelekk bingittsss.,flm jelekk bingittsss,False
92,0,"Film hangout kok biasa aja sih, malah gak jelas sepertinya. Kecewaa",film hangout gak kecewaa,False
93,0,Ternyata ending film kamar 207 jelekk,ending film kamar 207 jelekk,False
94,0,Filmnya aja ngehek...... ini seriesnya ngehek juga ga,film ngehek seriesnya ngehek ga,False
95,0,Kurang suka sama film #pesbukers cewe2 terllu terbuka penampilannya. Kurang baik klo di tonton anak kecil,suka film pesbukers cewe2 terllu buka tampil klo tonton anak,False
96,0,Buried ini film budget termurah dengan tingkat depresi tertinggi,buried film budget murah depresi tinggi,False
97,0,"lalu setelah film berakhir, mikir ''ngapain nonton film yang isinya anak sma semua..'' terus agak nyesel :(",film mikir ngapain nonton film isi anak sma nyesel,False
98,0,"Gila, film Britney Ever After jelek banget parah! Nyesel nonton walau gak sampe abis.",gila film britney ever after jelek parah nyesel nonton gak sampe,False
99,0,"Film danur nggak seperti novelnya. Harapan lebih serem ternyata cuman bikin boring. Sorry teh, tapi novelnya lebih bagus :)",film danur novel harap rem cuman boring sorry teh novel bagus,False
100,0,ga bakal gua nonton film setan indonesia thur. mengecewakan semua. murahan cuma ngandelin sex,ga nonton film setan indonesia thur kecewa murah ngandelin sex,False
101,1,"Keren bang flm lo @radityadika persahabatan, keluarga dan cinta kentel banget. Tokoh pemain pas semua keren bang",keren flm sahabat keluarga cinta kentel tokoh main keren,False
102,1,"Habis nonton film Kong: Skull Island 2017. Lumayan greget filmnya, 7.5 deh.. layak buat nobar",habis nonton film kong skull island 2017 lumayan greget film 7 5 layak nobar,False
103,1,"Bravo untuk #filmkartini! Pemainnya bagus, sudut pandang ceritanya pun menarik. Film yang penting untuk ditonton perempuan dan juga lelaki.",bravo filmkartini main bagus sudut pandang cerita tarik film tonton perempuan lelaki,False
104,1,Abis nonton film #kartini. Bagussss bgt! Dr awal sampe akhir haruuuu,nonton film kartini bagussss sampe haruuuu,False
105,1,#RomanHarusBertahan bangga menyukai film yg mengandung bnyak makna sperti ini.. @RompisRepost @LayarDrama_RCTI,romanharusbertahan bangga suka film kandung makna sperti,False
106,1,"Tiga kata untuk film #danur : cukup, dramatis dan laris.",film danur dramatis laris,False
107,1,Film kartini.. Meski aku agak telat nontonnya. film ini bagus banget...kalian sukses mendeliver cerita dan pesan.. good job guys... ,film kartini telat nontonnya film bagus sukses mendeliver cerita pesan good job,False
108,1,Aku menangis di akhir film kartini #banggafilmindonesia,menang film kartini banggafilmindonesia,False
109,1,"pokoknya kalian harus nonton film kartini, asli KEREN ! @LegacyPictures @Hanungbramantyo nonton di bioskop ya, bikinnya susah loh",pokok nonton film kartini asli keren nonton bioskop bikin susah,False
110,1,"film divergent seru-_- ah kenapa udh selesai sih-,-",film divergent seru selesai,False
111,1,"Tentang Get Out. kalo masih ada, cepetan nonton. mending nonton ini dulu daripada Fast Furious 8 http://tz.ucweb.com/4_OaOo ",get out cepetan nonton mending nonton fast furious 8,False
112,1,Saya suka video @YouTube http://youtu.be/JxTmtJ0Fc2U?a  TRAILER FILM THE GUYS (di bioskop 13 April 2017),suka video trailer film bioskop 13 april 2017,False
113,1,"Agak kebanyakan nangis2nya untuk selera saya, tapi secara keseluruhan sy kagum dengan film #Kartini.",banyak nangis2nya selera kagum film kartini,False
114,1,"thank you buat mas @awisuryadi dan tim yg uda buat Danur. film nya keren banget.buat tmn2 yg belum nonton, silakan ditonton. rekomended.",thank you tim uda danur film keren tmn2 nonton sila tonton rekomended,False
115,1,#DANUR film horor Indonesia terlaris sepanjang masa dengan 2.690.000 penonton sejak tayang 30 Maret 2017. #ManojPunjabi #DanurMovie,danur film horor indonesia laris 2 690 000 tonton tayang 30 maret 2017 manojpunjabi danurmovie,False
116,1,"Bertambah lagi film Indonesia yang bakal jadi favorite. Ya, #CriticalEleven setelah baca buku & nonton. Gak kecewa. Sama2 Bagus @ikanatassa",tambah film indonesia favorite criticaleleven baca buku nonton gak kecewa sama2 bagus,False
117,1,nah ini. coba nonton filmnya deh. asik parah ,coba nonton film asik parah,False
118,1,"Nonton Get Out bener2 gk punya ekspektasi apa2, cuma tertarik karna ini filmnya Jordan Peele, dan puas!! Keren parah, film sakit jiwa ini.",nonton get out bener2 gk ekspektasi apa2 tarik karna film jordan peele puas keren parah film sakit jiwa,False
119,1,"Kalo lagi nyari film comedy, ini recomended nih... Lucu parah! Asli! ",nyari film comedy recomended lucu parah asli,False
120,1,"Cek tread ini aja, Film gak terkenal yang ternyata asik di tonton - https://kask.us/hezsL  banyak nemu film bagus disini.",cek tread film gak kenal asik tonton nemu film bagus,False
121,1,Sekarang lagi ada film yang bagus banget di bioskop. Judulnya Ziarah. Film Indonesia yang patut diapresiasi.,film bagus bioskop judul ziarah film indonesia patut apresiasi,False
122,1,"Critical eleven film yang bagus. Dari cerita, pemain sampai gambarnya, semuanya bagus. Puas banget dah nontonnya.",critical eleven film bagus cerita main gambar bagus puas nontonnya,False
123,1,Film Ziarah sangat layak ditonton. Pengen peluk sutradaranya yang sukses mengarahkan pemeran mbah Sri - peran umur 95 thn.,film ziarah layak tonton ken peluk sutradara sukses arah per mbah sri peran umur 95 thn,False
124,1,Dan akhirnya setelah nunggu setahun mulai juga ni film #KantiniDHijabers,nunggu tahun ni film kantinidhijabers,False
125,1,Satu satunya film indonesia yg gue tunggu bgt buat di tonton. Setelah liat filmnya lgsg gagal moveon. Pgn nnton lagiii #CriticalEleven,satu film indonesia tunggu tonton liat film lgsg gagal moveon pgn nnton lagiii criticaleleven,False
126,1,Tp rasa bangga-nya pasti akan berkali2 lipat kalo film perdananya bisa meledak di pasaran dan tercatat menjadi film terlaris.,bangga berkali2 lipat film perdana ledak pasar catat film laris,False
127,1,"@CenayangFilm mbah, cucumu barusan nonton Night Bus. gila, keren gini ya. tinggal dikit lagi layarnya di bandung mbah, kasian :(",mbah cucu barusan nonton night bus gila keren dikit layar bandung mbah kasi,False
128,1,"film indonesia terbaik tahun lalu yang saya tonton. #ziarah diputar di bioskop 18 mei 2017. catat di hape, tonton di hari pertamanya.",film indonesia baik tonton ziarah putar bioskop 18 mei 2017 catat hape tonton pertama,False
129,1,Dari awal sampe akhir kagum banget sama film the guys raditya dkk kocak banget @cinema21 @sorayafilms #21TheGuysQuiz,sampe kagum film raditya dkk kocak 21theguysquiz,False
130,1,"Papa mama aku juga ikut nonton , mereka termasuk critical sm Film Indonesia,mereka blg film ini Bagus sekali :) terimakasi @Hanungbramantyo",papa mama nonton critical film indonesia blg film bagus terimakasi,False
131,1,"Sumpah film danur bagus banget. yg ini nihh baru dapat film yang kenyataan bener,..seru bikin ngageting #DanurMovie",sumpah film danur bagus nihh film nyata bener seru ngageting danurmovie,False
132,1,Buat yg udah nonton The Guys. Pilihan nonton di @cinema21 lainnya adalah #Unlocked film action yg seru. Cocok buat nemenin pas long weekend.,nonton pilih nonton unlocked film action seru cocok nemenin long weekend,False
133,1,Nonton Film The Guys. Filmnya ngakak Abis ada sedihnya juga film dengan paket yg komplit hehehehe Sukses terus @radityadika,nonton film film ngakak sedih film paket komplit hehehehe sukses,False
134,1,Sumpah ini film bagus bngt! Nonton berkali-kali gapernah bosen film the guys sangat menginspirasi tnx bang udah buat film ini @radityadika,sumpah film bagus bngt nonton kali gapernah bosen film inspirasi film,False
135,1,Kalo belom nonton Kartini harus banget sih nonton! Sama film korea judulnya Obsessed tp 18+++ huehe (),bom nonton kartini nonton film korea judul obsessed 18 huehe,False
136,1,Nangis itu gegara nonton film kartini (1982) yang epic banget.,nang gegara nonton film kartini 1982 epic,False
137,1,"Dan film ZIARAH ini muatannya berlapis. Tentang hidup, tentang cinta, tentang sejarah, tentang misteri, banyak sekali yang bisa disimak.",film ziarah muat lap cinta sejarah misteri simak,False
138,1,"90.4| Film ""Kartini"" bisa ditonton oleh semua umur. Karena film ini selain menghibur juga mendidik dan menginspirasi #FFF",90 4 film kartini tonton umur film hibur didik inspirasi fff,False
139,1,"Film sejarah, jarang sekali di negara ini. Jika membaca sejarah saja kita enggan setidaknya tontonlah filmnya @Hanungbramantyo Kartini",film sejarah jarang negara baca sejarah enggan tonton film kartini,False
140,1,"Pengerjaan film #Kartini terasa sangat sungguh2. Baik dari pemain maupun produksi. Selamat ya, Mas @Hanungbramantyo",kerja film kartini sungguh2 main produksi selamat,False
141,1,Lapor mbah @CenayangFilm film ini keren. Worth to watch. Syukur2 bisa instrospeksi diri abis nonton.,lapor mbah film keren worth watch syukur2 instrospeksi nonton,False
142,1,"thanks for today @andibowooo :-* film #TheBossBaby bagus banget dapet feel nya dari lucu, ketawa , amazing pokonya ",thanks for today film thebossbaby bagus dapet feel lucu ketawa amazing poko,False
143,1,Film Ziarah teramat sangat keren. Bangga. Layak dapat Oscar...,film ziarah amat keren bangga layak oscar,False
144,1,Barusan bgt kelar nntn @filmziarah film lokal pertama yg gue tonton dan berhasil bikin nangis @bewe_bw speechless liat aktingnya @alitalit_,barusan kelar nntn film lokal tonton hasil nang speechless liat akting,False
145,1,Bahagia telah dipertemukan dengan film keren ini ,bahagia temu film keren,False
146,1,Film Kartini bagus bangettt!!!! Wajib ditonton!,film kartini bagus wajib tonton,False
147,1,minggu lalu nonton #DANUR mau review seneng juga sih film horror Indonesia sudah bagus lagi @CenayangFilm @ScreenSaversID,nonton danur review neng film horror indonesia bagus,False
148,1,"#FilmKartini menginspirasi untuk berjuang menjunjung nilai kebenaran, bukan dominasi penguasa dan kekakuan budaya @LegacyPictures",filmkartini inspirasi juang junjung nilai benar dominasi kuasa kaku budaya,False
149,1,"10. Kalaupun mau bikin film horror, film Danur bisa jadi rujukan .. ringan tapi menakutkan ",10 film horror film danur rujuk ringan takut,False
150,1,Banyak moral yg bisa dipetik dari film wonder woman. Salah satunya adalah menjaga auratmu dr cowok hidung belang ?,moral petik film wonder woman satu jaga aurat cowok hidung belang,False
151,1,Berikut 5 film horor Indonesia berpendapatan tinggi dalam 10 tahun terakhir. Dapatkan tiket @DanurMovie di http://bit.ly/belidanur,5 film horor indonesia dapat 10 dapat tiket,False
152,1,Trust me. #GetOut itu tipe film paling nyaman dinikmati saat kita gak tau sama sekali filmnya mau kemana. Kalau sudah baca sana-sini ya beda,trust me getout tipe film nyaman nikmat gak tau film baca beda,False
153,1,Nonton film #getout berbudget minim tp hasilnya sungguh tk diduga bgtu jenius smp mkir brulang apa yg sbnrnya trjadi,nonton film getout berbudget minim hasil sungguh tk jenius smp mkir brulang,False
154,1,Ini salah satu film yg simple tapi hasilnya luarbiasa. Ga aneh film #GetOut dapet critical acclaim.,film simple hasil luarbiasa ga aneh film getout dapet critical acclaim,False
155,1,"Dan sy bahagia krn film sebagus @filmziarah ditonton oleh mrk. Kalaupun mrk ditugasi gurunya, gurunya itu bagus #filmziarah",bahagia krn film bagus tonton mrk mrk tugas guru guru bagus filmziarah,False
156,1,"pokoknya kalian harus nonton film kartini, asli KEREN ! @LegacyPictures @Hanungbramantyo nonton di bioskop ya, bikinnya susah loh",pokok nonton film kartini asli keren nonton bioskop bikin susah,False
157,1,"Film Kartini bagus banget, sebelah saya sampe nangis, artinya film ini mampu memberikan keresahan pada penontonnya.",film kartini bagus belah sampe nang film resah tonton,False
158,1,"Ini film keren, banyak falsafah hidup. Salut",film keren falsafah salut,False
159,1,"Males2an diajak liat The Guys, karena masih ngerasa duit terbang percuma pasca nonton Hangout. Eh ini beda ternyata tjoy, film ini keren.",males2an ajak liat ngerasa duit terbang pasca nonton hangout beda film keren,False
160,1,"Permintaan terbuka untuk warganet Indonesia. Jikalau ada waktu + kesempatan, tontonlah film ""Ziarah"". Salah satu yg terbaik yg pernah ada~ ",minta buka warganet indonesia tonton film ziarah baik,False
161,1,"Sampai hari ini, aku masih terngiang2 Film Critical Eleven, ya Tuhan. Betapa aku banyak belajar dr menonton itu. Hemmmm",terngiang2 film critical eleven tuhan betapa ajar tonton hemmmm,False
162,1,habis liat Film kartini yg luar biasa...pemikiran dan gerakan kartini hrs di lanjutkan,habis liat film kartini pikir gera kartini lanjut,False
163,1,#filmkartini @Hanungbramantyo sangat layak utk diapresiasi tinggi. Tak ada gading yg tak retak. Tp cuma retak samar. Film ini BAGUS!,filmkartini layak apresiasi gading retak retak samar film bagus,False
164,1,"Di Film Danur, justru yang membuat saya terkesan sosok Asih. Expresi yang datar, tanpa kata membuat penasaran,... http://fb.me/1uxomgQjS",film danur kes sosok asih expresi datar penasaran,False
165,1,Danur seru bangat flm nya Yg blm nonton harap nonton #l4like,danur seru bangat flm blm nonton harap nonton l4like,False
166,1,Film-film tersebut juga cocok lho ditonton bareng anak Anda. Yuk mulai nonton lagi film berkualitas dari Indonesia #BTInd,film film cocok tonton bareng anak yuk nonton film kualitas indonesia btind,False
167,1,"Gue udah nonton bang, sumpah pecah banget nih film karena berhasil bikin mewek nontonnya ? https://t.co/e9UbwUtbQJ",nonton sumpah pecah film hasil mewek nontonnya,False
168,1,nih film komedi lucu bangt bahasa jawa https://t.co/46I52na21l https://t.co/TopkrZd0DZ,film komedi lucu bangt bahasa jawa,False
169,1,Awalnya sih sempet khawatir setiap liat film adaptasi dr novel takut gak sesuai ekspektasi tp #CriticalEleven malah bikin speechless.,sempet khawatir liat film adaptasi novel takut gak ekspektasi criticaleleven speechless,False
170,1,Salah satu film yg gak pernah bikin bosen ditonton berapa kali pun: The Intern. What a lovely movie. @CenayangFilm,film gak bosen tonton intern what lovely movie,False
171,1,"Gk nysel aku bg, uda ntn vlog mu yang the guys dri awal smpe akhir, dan akhrnya terbayarkan sama film mu bang kern kli @radityadika seriusan",gk nysel bg uda ntn vlog mu dri smpe akhrnya bayar film mu kern kli serius,False
172,1,Tadi abis nonton @GetOutMovie. Gokil sih premisnya. Keren lah itu film.,nonton gokil premis keren film,False
173,1,@ernestprakasa Slamat koh ernes atas kemenangan film cek toko sebelahnya Kita kuat karna kita beragam bukan seragam,slamat koh ernes menang film cek toko belah kuat karna agam seragam,False
174,1,"ini film keren banget bang Kekeluargaannya, cintanya, persahabatannya, komedinya dpt banget sumpah. Jadi makin cinta sama alfi. @radityadika",film keren keluarga cinta sahabat komedi dpt sumpah cinta alf,False
175,1,Dan tiap scene Reza-Adinia ini selalu gold moment #CriticalEleven. Ini berdua emg dah ditakdirkan jadi pasangan plg cocok di film saat ini.,scene reza adinia gold moment criticaleleven dua takdir pasang cocok film,False
176,1,"Film yang keren, pemainnya menggembirakan meski banyak penonton menangis. #kartini",film keren main gembira tonton menang kartini,False
177,1,"RT @GreatBos: Jarang nonton movie Indonesia Tapi. Yang judulnya Syahadat Cinta, bagus Pemirsa, Recommended .. Jalan ceritanya SERU! .. Hoo…",jarang nonton movie indonesia judul syahadat cinta bagus pirsa recommended cerita seru hoo,False
178,1,ASTAGAH! FILM FAVORIT KELUAR LAGI LANJUTANNYA. ,astagah film favorit lanjut,False
